Key,FamilyCount,Family1,Family2,Family3,IconBtn,CharType,BrawlerID,Name,IconImg,CharName,CharDesc,filename,Class,GradeNum,Grade,GradeColor,Health,Speed,Speed_Text,Shield,SuperCharge_Auto,SuperCharge_fromDmg,NormalSkill_Count,NormalSkill1,NormalSkill2,NormalSkill3,NormalSkill4,NormalSkill5,SuperSkill_Count,SuperSkill1,SuperSkill2,SuperSkill3,SuperSkill4,SuperSkill5,StarPowerSkill1,StarPowerSkill2,GadgetSkill1,GadgetSkill2,HyperSkill,Hyper_Damage,Hyper_Speed,Hyper_Shield,Hyper_isBuddy,Tag,
10,,,,,,hero,10001,ShotgunGirl,face/face_shelly,TID_SHOTGUN_GIRL,TID_SHOTGUN_GIRL_DESC,shelly,damage_dealer,1,common,42C0FFFF,390,800,매우 빠름,,,,1,100011,,,,,1,100021,,,,,100031,100032,100041,100042,100051,5,20,5,1,"cc,break,cc,heal(s),",
20,,,,,,hero,20001,Shaman,face/face_nita,TID_SHAMAN,TID_SHAMAN_DESC,nita,damage_dealer,2,rare,0BFF21FF,4200,750,매우 빠름,,,,1,200011,,,,,1,200021,,,,,200031,200032,200041,200042,200051,5,20,5,1,"heal(s),cc,",
30,,,,,,hero,30001,Gunslinger,face/face_colt,TID_GUNSLINGER,TID_GUNSLINGER_DESC,colt,damage_dealer,2,rare,0BFF21FF,3100,750,매우 빠름,,,,1,300011,,,,,1,300021,,,,,300031,300032,300041,300042,300051,5,20,5,1,"break,cc,break,",
40,,,,,,hero,40001,BullDude,face/face_bull,TID_BULL_DUDE,TID_BULL_DUDE_DESC,bull,tank,2,rare,0BFF21FF,5000,800,매우 빠름,,,240,1,400011,,,,,1,400021,,,,,400031,400032,400041,400042,400051,5,20,5,1,"cc,break,heal(s),cc,tank,",
50,,,,,,hero,50001,RocketGirl,face/face_brock,TID_ROCKET_GIRL,TID_ROCKET_GIRL_DESC,brock,marksman,2,rare,0BFF21FF,3000,750,매우 빠름,,,,1,500011,,,,,1,500021,,,,,500031,500032,500041,500042,500051,5,20,5,1,"break,break,",
60,,,,,,hero,60001,Luchador,face/face_elprimo,TID_LUCHADOR,TID_LUCHADOR_DESC,elprimo,tank,2,rare,0BFF21FF,6500,800,매우 빠름,,,240,1,600011,,,,,1,600021,,,,,600031,600032,600041,600042,600051,5,20,5,1,"break,tank,",
70,,,,,,hero,70001,Barkeep,face/face_barley,TID_BARKEEP,TID_BARKEEP_DESC,barley,artillery,2,rare,0BFF21FF,2700,750,매우 빠름,,,,1,700011,,,,,1,700021,,,,,700031,700032,700041,700042,700051,5,20,5,0,"heal(s),cc,heal(s),heal(t),",
80,,,,,,hero,80001,DeadMariachi,face/face_poco,TID_DEAD_MARIACHI,TID_DEAD_MARIACHI_DESC,poco,support,2,rare,0BFF21FF,4000,750,매우 빠름,,,,1,800011,,,,,1,800021,,,,,800031,800032,800041,800042,800051,5,20,5,1,"heal(t),heal(s),heal(t),",
90,,,,,,hero,90001,Mechanic,face/face_jessie,TID_MECHANIC,TID_MECHANIC_DESC,jessie,controller,3,super_rare,0B54FFFF,3300,750,매우 빠름,,,,1,900011,,,,,1,900021,,,,,900031,900032,900041,900042,900051,5,20,5,0,"cc,",
100,,,,,,hero,100001,TrickshotDude,face/face_rico,TID_TRICKSHOT_DUDE,TID_TRICKSHOT_DUDE_DESC,rico,damage_dealer,3,super_rare,0B54FFFF,3000,750,매우 빠름,,,,1,1000011,,,,,1,1000021,,,,,1000031,1000032,1000041,1000042,1000051,5,20,5,1,,
