KEY_TEXT,TEXT_KOR,TEXT_ENG,TEXT_ES,TEXT_FR,TEXT_DE,TEXT_AR,TEXT_CN,TEXT_CNT,TEXT_FI,TEXT_HE,TEXT_ID,TEXT_IT,TEXT_JP,TEXT_MS,TEXT_NL,TEXT_PL,TEXT_PT,TEXT_RU,TEXT_TH,TEXT_TR,TEXT_VI,
Lang_Text,한국어,English,Español,Français,Deutsch,العربية,简体中文,繁體中文,Suomi,עברית,Bahasa Indonesia,Italiano,日本語,Bahasa Melayu,Nederlands,Polski,Português,Pусский,ภาษาไทย,Türkçe,Tiếng Việt,
Lang_Desc,.,.,"Español 50%, English 50%","Français 50%, English 50%","Deutsch 50%, English 50%","العربية 50%, English 50%","简体中文 50%, English 50%","繁體中文 50%, English 50%","Suomi 50%, English 50%","עברית 50%, English 50%","Bahasa Indonesia 50%, English 50%","Italiano 50%, English 50%","日本語 50%, English 50%","Bahasa Melayu 50%, English 50%","Nederlands 50%, English 50%","Polski 50%, English 50%","Português 50%, English 50%","Pусский 50%, English 50%","ภาษาไทย 50%, English 50%","Türkçe 50%, English 50%","Tiếng Việt 50%, English 50%",
TestKey1,한글1,영어1,프랑스어1,프랑스어1,독일어1,독일어1,독일어1,독일어1,독일어1,독일어1,독일어1,독일어1,독일어1,독일어1,독일어1,독일어1,독일어1,독일어1,독일어1,독일어1,독일어1,
TestKey2,한글2,영어2,프랑스어2,프랑스어2,독일어2,독일어2,독일어2,독일어2,독일어2,독일어2,독일어2,독일어2,독일어2,독일어2,독일어2,독일어2,독일어2,독일어2,독일어2,독일어2,독일어2,
TestKey3,한글3,영어3,프랑스어3,프랑스어3,독일어3,독일어3,독일어3,독일어3,독일어3,독일어3,독일어3,독일어3,독일어3,독일어3,독일어3,독일어3,독일어3,독일어3,독일어3,독일어3,독일어3,
TestKey4,한글4,영어4,프랑스어4,프랑스어4,독일어4,독일어4,독일어4,독일어4,독일어4,독일어4,독일어4,독일어4,독일어4,독일어4,독일어4,독일어4,독일어4,독일어4,독일어4,독일어4,독일어4,
TestKey5,한글5,영어5,프랑스어5,프랑스어5,독일어5,독일어5,독일어5,독일어5,독일어5,독일어5,독일어5,독일어5,독일어5,독일어5,독일어5,독일어5,독일어5,독일어5,독일어5,독일어5,독일어5,
TestKey6,한글6,영어6,프랑스어6,프랑스어6,독일어6,독일어6,독일어6,독일어6,독일어6,독일어6,독일어6,독일어6,독일어6,독일어6,독일어6,독일어6,독일어6,독일어6,독일어6,독일어6,독일어6,
TestKey7,한글7,영어7,프랑스어7,프랑스어7,독일어7,독일어7,독일어7,독일어7,독일어7,독일어7,독일어7,독일어7,독일어7,독일어7,독일어7,독일어7,독일어7,독일어7,독일어7,독일어7,독일어7,
TestKey8,한글8,영어8,프랑스어8,프랑스어8,독일어8,독일어8,독일어8,독일어8,독일어8,독일어8,독일어8,독일어8,독일어8,독일어8,독일어8,독일어8,독일어8,독일어8,독일어8,독일어8,독일어8,
TestKey9,한글9,영어9,프랑스어9,프랑스어9,독일어9,독일어9,독일어9,독일어9,독일어9,독일어9,독일어9,독일어9,독일어9,독일어9,독일어9,독일어9,독일어9,독일어9,독일어9,독일어9,독일어9,
`,한글10,영어10,프랑스어10,프랑스어10,독일어10,독일어10,독일어10,독일어10,독일어10,독일어10,독일어10,독일어10,독일어10,독일어10,독일어10,독일어10,독일어10,독일어10,독일어10,독일어10,독일어10,
Voting,투표하기,,,,,,,,,,,,,,,,,,,,,
Voting chart,투표챠트,,,,,,,,,,,,,,,,,,,,,
Close,닫기,,,,,,,,,,,,,,,,,,,,,
